rmse	mae	r2	pearson	spearman	task	method_name	method_params	hash
0.2969916989919139	0.2296646290075645	-0.0492725596961193	0.9705308877026096	0.932623664453124	V11L12_MOSCOT_selected_genes_selected_msi	xgboost	{'alpha': 30, 'lambda': 80, 'max_depth': 4, 'learning_rate': 0.03, 'n_estimators': 800, 'subsample': 0.85, 'colsample_bytree': 0.75, 'min_child_weight': 2, 'early_stopping_rounds': 15, 'n_jobs': 20}	cfb59f66ce
0.2968873332354447	0.2279271216637207	-0.0498085372416255	0.970726465575842	0.9340978265866218	V11L12_MOSCOT_selected_genes_selected_msi	elastic_net	{'alpha': 0.1, 'l1_ratio': 0.1}	ed01bc4514
0.2969186531994603	0.2279624321733581	-0.0499797556340021	0.9707199163277724	0.9340818881373112	V11L12_MOSCOT_selected_genes_selected_msi	lasso	{'alpha': 0.01}	99ef2f1729
0.2970330373106707	0.2291056651904423	-0.0501108647541675	0.9705612644174682	0.9322923292237324	V11L12_MOSCOT_selected_genes_selected_msi	xgboost	{'alpha': 25, 'lambda': 70, 'max_depth': 7, 'learning_rate': 0.02, 'n_estimators': 1500, 'subsample': 0.95, 'colsample_bytree': 0.65, 'min_child_weight': 4, 'early_stopping_rounds': 25, 'n_jobs': 20}	920ee7bbda
0.2969563982040327	0.2280029081751931	-0.0502347679825257	0.9707125156238618	0.9338577337196444	V11L12_MOSCOT_selected_genes_selected_msi	elastic_net	{'alpha': 0.01, 'l1_ratio': 0.9}	ed69fd9da2
0.2970582210271487	0.2279774590647444	-0.0508708807938758	0.9706861263399282	0.9348799858847964	V11L12_MOSCOT_selected_genes_selected_msi	lasso	{'alpha': 1.0}	9ef11d4e0d
0.2970582210271487	0.2279774590647444	-0.0508708807938758	0.9706861263399282	0.9348799858847964	V11L12_MOSCOT_selected_genes_selected_msi	lasso	{'alpha': 200.0}	299116711
0.2970582210271487	0.2279774590647444	-0.0508708807938758	0.9706861263399282	0.9348799858847964	V11L12_MOSCOT_selected_genes_selected_msi	lasso	{'alpha': 50.0}	62131dd7e5
0.2970582210271487	0.2279774590647444	-0.0508708807938758	0.9706861263399282	0.9348799858847964	V11L12_MOSCOT_selected_genes_selected_msi	elastic_net	{'alpha': 0.1, 'l1_ratio': 0.9}	08877a4539
0.2970582210271487	0.2279774590647444	-0.0508708807938758	0.9706861263399282	0.9348799858847964	V11L12_MOSCOT_selected_genes_selected_msi	lasso	{'alpha': 0.1}	c434784d5d
