rmse	mae	r2	pearson	spearman	task	method_name	method_params	hash
0.3582073081362631	0.2730179044526329	0.1132428822253928	0.8310543578841469	0.8328313763465984	top20_abundant_msi_full_rna	xgboost	{'alpha': 10, 'lambda': 50, 'max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 500, 'subsample': 0.9, 'colsample_bytree': 0.7, 'min_child_weight': 2, 'early_stopping_rounds': 20, 'n_jobs': 20}	24dec28193
0.3588615945983809	0.2744829621085485	0.1113207588161537	0.8299530498767111	0.8288585921125626	top20_abundant_msi_full_rna	xgboost	{'alpha': 0, 'lambda': 10, 'max_depth': 6, 'learning_rate': 0.1, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'early_stopping_rounds': 5, 'n_jobs': 20}	b0a06b4f5b
0.3596763808147897	0.2738749264442172	0.1054466351039083	0.8295750758053801	0.8310496383591609	top20_abundant_msi_full_rna	xgboost	{'alpha': 25, 'lambda': 70, 'max_depth': 7, 'learning_rate': 0.02, 'n_estimators': 1500, 'subsample': 0.95, 'colsample_bytree': 0.65, 'min_child_weight': 4, 'early_stopping_rounds': 25, 'n_jobs': 20}	9e8ca7b111
0.3612765400718075	0.2745659049276137	0.0972060355595327	0.8280438187018914	0.830395312564959	top20_abundant_msi_full_rna	xgboost	{'alpha': 30, 'lambda': 80, 'max_depth': 4, 'learning_rate': 0.03, 'n_estimators': 800, 'subsample': 0.85, 'colsample_bytree': 0.75, 'min_child_weight': 2, 'early_stopping_rounds': 15, 'n_jobs': 20}	ee8eaa8dce
0.3634435678185056	0.2765161660006528	0.0911006227352072	0.8245476159254989	0.8266573147794468	top20_abundant_msi_full_rna	elastic_net	{'alpha': 0.01, 'l1_ratio': 0.5}	a60273cefb
0.365918534372717	0.2781410521694369	0.0771451474116931	0.8223671370710803	0.8258936649495854	top20_abundant_msi_full_rna	elastic_net	{'alpha': 0.01, 'l1_ratio': 0.9}	611b8110ff
0.3664765044681607	0.2784673453993129	0.0744187211199868	0.8217649939907328	0.8255449213113599	top20_abundant_msi_full_rna	lasso	{'alpha': 0.01}	5fee27983b
0.3666581028523961	0.2785254934177269	0.0734281254236233	0.8215697556869225	0.825924800873553	top20_abundant_msi_full_rna	elastic_net	{'alpha': 0.1, 'l1_ratio': 0.1}	f7452942f3
0.3664188234145581	0.2785688156077075	0.0732587067325561	0.8223706984345024	0.8275734563807586	top20_abundant_msi_full_rna	xgboost	{'alpha': 50, 'lambda': 100, 'max_depth': 3, 'learning_rate': 0.05, 'n_estimators': 1000, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'early_stopping_rounds': 10, 'n_jobs': 20}	7abbdab2cb
0.3683396744570707	0.282284761484579	0.0663212272156378	0.8191371638536977	0.817687895612623	top20_abundant_msi_full_rna	ridge	{'alpha': 200.0}	443ecce4f5
