rmse	mae	r2	pearson	spearman	task	method_name	method_params	hash
0.2889279532805077	0.2225012598315868	0.1772225049588587	0.759539840732413	0.7628893465910338	top5_abundant_msi_full_rna	xgboost	{'alpha': 10, 'lambda': 50, 'max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 500, 'subsample': 0.9, 'colsample_bytree': 0.7, 'min_child_weight': 2, 'early_stopping_rounds': 20, 'n_jobs': 20}	42a9897a31
0.289393958369618	0.2231193040540418	0.1737872627236446	0.7585250561889243	0.7601703591844547	top5_abundant_msi_full_rna	xgboost	{'alpha': 0, 'lambda': 10, 'max_depth': 6, 'learning_rate': 0.1, 'n_estimators': 300, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'early_stopping_rounds': 5, 'n_jobs': 20}	7117cde9e8
0.2907722402025471	0.2236038970881696	0.1665597244186476	0.7561136610997077	0.7599813342477074	top5_abundant_msi_full_rna	xgboost	{'alpha': 25, 'lambda': 70, 'max_depth': 7, 'learning_rate': 0.02, 'n_estimators': 1500, 'subsample': 0.95, 'colsample_bytree': 0.65, 'min_child_weight': 4, 'early_stopping_rounds': 25, 'n_jobs': 20}	69e8c5c337
0.2930514565919768	0.2254785116346924	0.1535102342742844	0.7519686586551289	0.7567827918433675	top5_abundant_msi_full_rna	xgboost	{'alpha': 30, 'lambda': 80, 'max_depth': 4, 'learning_rate': 0.03, 'n_estimators': 800, 'subsample': 0.85, 'colsample_bytree': 0.75, 'min_child_weight': 2, 'early_stopping_rounds': 15, 'n_jobs': 20}	72946783f1
0.2960939884503694	0.2296943288463392	0.1354004485375527	0.7463789583373202	0.7452584235540963	top5_abundant_msi_full_rna	ridge	{'alpha': 200.0}	be07cc23e0
0.2966191102640745	0.2269607508223968	0.1336646096171225	0.7454250372068147	0.7488677030579295	top5_abundant_msi_full_rna	elastic_net	{'alpha': 0.01, 'l1_ratio': 0.5}	1d0acc39e7
0.2986923322868775	0.2307169077152317	0.1225588690804342	0.741480771097738	0.7497442408860986	top5_abundant_msi_full_rna	xgboost	{'alpha': 50, 'lambda': 100, 'max_depth': 3, 'learning_rate': 0.05, 'n_estimators': 1000, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'early_stopping_rounds': 10, 'n_jobs': 20}	3747eb9e5c
0.2995296795430944	0.2289970453710076	0.1155873140100316	0.7397609630173021	0.7424541852687501	top5_abundant_msi_full_rna	elastic_net	{'alpha': 0.01, 'l1_ratio': 0.9}	c20e8d451b
0.2999484712985664	0.2293647594015042	0.112668398125203	0.7389201248716105	0.7423137038478717	top5_abundant_msi_full_rna	elastic_net	{'alpha': 0.1, 'l1_ratio': 0.1}	4231a1fdf0
0.3000403094105324	0.2293711790972213	0.1125354585576798	0.7387644336170155	0.7419082124016024	top5_abundant_msi_full_rna	lasso	{'alpha': 0.01}	7089caa638
